"Authors","OA Richness","PW Richness","OA Diversity","PW Diversity"
"First",69,127,15.197007129244,6.96872899337168
"Last",56,125,8.22556735691908,7.82309495696377
"All",86,153,12.2515763350593,8.73445560306646
