"Richness","InvSimp"
40,6.92640692640693
41,6.46418822305992
44,7.14552391333969
42,8.23002488249931
43,6.6787872362981
39,6.23360655737705
37,6.53997569866343
34,7.61670297748729
44,8.39405379896177
37,6.59787025360796
39,5.72785388127854
43,7.20521653543307
42,7.14549524342473
39,6.5042992261393
41,7.37561942517344
45,6.44953496383052
41,6.5419187554019
36,6.39089089089089
37,7.86285397001666
37,6.35679414157852
40,6.54662840746055
34,5.1953667953668
39,6.10201901506249
41,8.15565031982942
39,8.01480111008325
40,6.39484425349087
42,9.02811835867255
40,6.32286374133949
43,10.1391966759003
36,7.33181046860723
42,6.64161154539988
43,6.50270572868072
46,7.38899034698669
41,8.3746140094263
39,7.68206451612903
38,7.86722222222222
42,6.93619598869296
36,6.57732346670011
42,6.48742823203326
40,7.36326576831616
37,7.97353603603604
37,6.857269167614
34,5.9538401483361
37,8.01190830604347
40,7.11079297896178
44,8.88963484525954
40,7.09434792170662
42,8.29984635385888
35,7.08336235922443
37,5.98548031130213
43,7.24832655204095
44,6.14372647930179
45,6.6018648018648
39,5.86277327311916
42,7.53078444297956
35,6.467097205211
35,5.46468401486989
38,7.77062771417292
41,5.68292682926829
39,7.14328216113293
38,8.63092899242212
38,7.36449455880425
37,6.82405033791657
40,7.49414519906323
41,7.29920664903665
42,7.22934939128158
38,7.01780009128252
46,6.74654576856649
39,7.05064377682403
37,8.06235011990408
37,6.08047619047619
39,8.86559056340214
45,7.57314581079457
40,6.4067044614247
38,7.52676591700982
41,8.00735086231269
40,7.54716981132075
38,6.23892035988004
39,6.08144126357354
45,7.16525988449578
41,6.4676760394136
40,6.05595687331536
36,8.84829586656998
38,7.5596772094234
42,5.89060538766052
41,7.594641564084
38,7.2938711367208
40,7.39379577768203
38,7.11764705882353
40,6.73408464212924
41,6.34055845977305
42,6.76469240462825
40,8.21570438799076
43,6.32827949901121
43,7.45691382765531
45,7.45871324001541
39,7.36768802228412
39,9.11960356122963
44,7.08842297174111
29,6.06916426512968
41,7.14708933717579
44,6.35759312320917
34,6.65572061506385
47,6.30521091811414
42,6.44595709570957
41,7.55525140469673
