"Journal","richOA","abundOA","DivSimpsonOA","EffectSpecNumOA","richPW","abundPW","DivSimpsonPW","EffectSpecNumPW","DeltaDiv"
"analytica chimica acta",7,14,0.816326530612245,5.44444444444444,48,819,0.751313806258861,4.02113195331187,1.42331249113257
"atherosclerosis",5,6,0.777777777777778,4.5,67,1179,0.951521573824081,20.6277323519373,-16.1277323519373
"atmospheric environment",19,47,0.898143956541421,9.81777777777777,47,610,0.787385111529159,4.70333948479409,5.11443829298368
"biosensors and bioelectronics",7,9,0.814814814814815,5.4,46,804,0.739697037202049,3.84167736414206,1.55832263585794
"chemical engineering science",14,29,0.889417360285375,9.04301075268817,51,722,0.832360095456603,5.96516684212935,3.07784391055882
"chemical physics letters",11,21,0.834467120181406,6.04109589041096,55,710,0.809946439198572,5.26167463415652,0.779421256254435
"contraception",4,9,0.617283950617284,2.61290322580645,15,135,0.284554183813443,1.39772988726129,1.21517333854516
"cytokine",4,5,0.72,3.57142857142857,43,285,0.928901200369344,14.0649350649351,-10.4935064935065
"ecological engineering",7,10,0.78,4.54545454545455,39,316,0.864084281365166,7.35750073681108,-2.81204619135653
"energy conversion and management",8,10,0.84,6.25,55,928,0.802811013674197,5.07127714702973,1.17872285297027
"expert systems with applications",7,9,0.839506172839506,6.23076923076923,59,719,0.930333235969445,14.3540469248924,-8.12327769412318
"food chemistry",17,31,0.903225806451613,10.3333333333333,71,2132,0.83280987648237,5.98121455358905,4.35211877974428
"gene",9,16,0.8515625,6.73684210526316,59,815,0.693000112913546,3.25733018826287,3.47951191700029
"international journal of pharmaceutics",16,32,0.892578125,9.30909090909091,54,779,0.942698334489595,17.4514997267995,-8.14240881770863
"journal of asian earth sciences",3,6,0.611111111111111,2.57142857142857,28,385,0.533621184010794,2.14417972196907,0.427248849459499
"journal of biomedical informatics",3,8,0.40625,1.68421052631579,10,19,0.775623268698061,4.45679012345679,-2.772579597141
"journal of biotechnology",5,6,0.777777777777778,4.5,39,199,0.892603722128229,9.31130966376675,-4.81130966376675
"journal of computational physics",13,30,0.842222222222222,6.33802816901408,38,671,0.822497284787481,5.63371663809607,0.704311530918011
"journal of hydrology",14,28,0.900510204081633,10.051282051282,57,815,0.841928563363318,6.32625363112529,3.72502842015675
"journal of non-crystalline solids",12,32,0.859375,7.11111111111111,44,512,0.884796142578125,8.68026490066225,-1.56915378955114
"journal of structural biology",4,9,0.617283950617284,2.61290322580645,25,111,0.897492086681276,9.75534441805226,-7.14244119224581
"materials letters",10,17,0.865051903114187,7.41025641025641,63,1753,0.626949677010383,2.68060349602708,4.72965291422932
"optical materials",15,32,0.8828125,8.53333333333333,55,472,0.871723283539213,7.79564700118973,0.737686332143604
"research policy",2,2,0.5,2,29,186,0.911666088565152,11.3206806282723,-9.32068062827226
"respiratory medicine",6,8,0.78125,4.57142857142857,34,206,0.911678763314167,11.3223052294557,-6.75087665802714
"sleep medicine",1,1,0,1,38,264,0.926681588613407,13.6391389432485,-12.6391389432485
"toxicon",9,14,0.86734693877551,7.53846153846154,42,182,0.915046491969569,11.771144278607,-4.23268274014543
"vaccine",17,33,0.881542699724518,8.44186046511628,61,779,0.872225179247941,7.82626807155109,0.61559239356519
"veterinary parasitology",11,14,0.887755102040816,8.90909090909091,38,135,0.93838134430727,16.2288512911843,-7.31976038209343
"water research",10,18,0.858024691358025,7.04347826086957,44,878,0.792580984947152,4.82115875318957,2.22231950767999
"world neurosurgery",17,36,0.882716049382716,8.52631578947369,66,2577,0.852450312298174,6.77737795027284,1.74893783920084
