Richness,InvSimpsons,Code,Shannon,Even,Code.numeric,Change_in_Div,above_upper_ci,below_lower_ci,Effect on Diversity
133,17.337981078402986,AFG,3.446412793405306,0.7047375766111208,1,-0.0015,FALSE,FALSE,None
133,17.337981078402986,ALB,3.446412793405306,0.7047375766111208,2,-0.0015,FALSE,FALSE,None
133,17.286436352869337,ARE,3.4404969168636708,0.7035278722758014,3,-0.0531,FALSE,FALSE,None
133,17.113212973327155,ARG,3.4290976030181897,0.7011968906737525,4,-0.2263,FALSE,FALSE,None
133,17.337981078402986,ARM,3.446412793405306,0.7047375766111208,5,-0.0015,FALSE,FALSE,None
133,16.552607274621337,AUS,3.414387218478436,0.6981888468400593,6,-0.7869,FALSE,FALSE,None
133,17.145854120337685,AUT,3.430824075822735,0.7015499273914343,7,-0.1937,FALSE,FALSE,None
133,17.337981078402986,AZE,3.446412793405306,0.7047375766111208,8,-0.0015,FALSE,FALSE,None
133,17.337981078402986,BDI,3.446412793405306,0.7047375766111208,9,-0.0015,FALSE,FALSE,None
133,17.016937616472266,BEL,3.4247072870734905,0.7002991396482964,10,-0.3226,FALSE,FALSE,None
133,17.337981078402986,BEN,3.446412793405306,0.7047375766111208,11,-0.0015,FALSE,FALSE,None
133,17.336444468514948,BFA,3.4461381442438546,0.7046814151481556,12,-0.0031,FALSE,FALSE,None
133,17.308999125771656,BGD,3.442681458643011,0.7039745769429046,13,-0.0305,FALSE,FALSE,None
133,17.298435019161097,BGR,3.44161622739597,0.703756753793859,14,-0.0411,FALSE,FALSE,None
133,17.337981078402986,BHR,3.446412793405306,0.7047375766111208,15,-0.0015,FALSE,FALSE,None
133,17.33337500171059,BIH,3.445650290637229,0.7045816567068186,16,-0.0061,FALSE,FALSE,None
133,17.32878017923497,BLR,3.4449999224427352,0.7044486665710549,17,-0.0107,FALSE,FALSE,None
133,16.382321560797514,BRA,3.4173680923944474,0.698798388988862,18,-0.9572,FALSE,TRUE,Significant Decrease
133,17.33490910972206,BRB,3.445886688942239,0.7046299964671939,19,-0.0046,FALSE,FALSE,None
133,17.33490910972206,BRN,3.445886688942239,0.7046299964671939,20,-0.0046,FALSE,FALSE,None
133,17.337981078402986,BTN,3.446412793405306,0.7047375766111208,21,-0.0015,FALSE,FALSE,None
133,17.331842144167307,BWA,3.445425085228655,0.7045356057189096,22,-0.0077,FALSE,FALSE,None
133,16.59010077091689,CAN,3.4145199730100693,0.6982159930678956,23,-0.7494,FALSE,FALSE,None
133,17.032104076274255,CHE,3.4253375370679984,0.7004280159264482,24,-0.3074,FALSE,FALSE,None
133,17.19471052147274,CHL,3.433696237390392,0.7021372395632958,25,-0.1448,FALSE,FALSE,None
134,17.339518939700433,CHN,3.4467489211803226,0.703728390874456,26,0,FALSE,FALSE,None
133,17.336444468514948,CIV,3.4461381442438546,0.7046814151481556,27,-0.0031,FALSE,FALSE,None
133,17.30597458652519,CMR,3.4423674719320663,0.7039103715655967,28,-0.0335,FALSE,FALSE,None
133,17.33490910972206,COD,3.445886688942239,0.7046299964671939,29,-0.0046,FALSE,FALSE,None
133,17.337981078402986,COG,3.446412793405306,0.7047375766111208,30,-0.0015,FALSE,FALSE,None
133,17.226186559412138,COL,3.435774605161231,0.7025622333043039,31,-0.1133,FALSE,FALSE,None
133,17.327251071222022,CRI,3.4447973929456768,0.7044072524528093,32,-0.0123,FALSE,FALSE,None
133,17.318102645917257,CUB,3.4436807079213074,0.7041789078101078,33,-0.0214,FALSE,FALSE,None
133,17.321147128270123,CYP,3.444037126061671,0.7042517897518707,34,-0.0184,FALSE,FALSE,None
133,17.087865889660428,CZE,3.4278469694380997,0.7009411556439419,35,-0.2517,FALSE,FALSE,None
133,16.439295527705138,DEU,3.4153500048149956,0.6983857216052992,36,-0.9002,FALSE,FALSE,None
133,17.06816214618217,DNK,3.426924060701625,0.7007524352249541,37,-0.2714,FALSE,FALSE,None
133,17.337981078402986,DOM,3.446412793405306,0.7047375766111208,38,-0.0015,FALSE,FALSE,None
133,17.265629711964458,DZA,3.4387243667800234,0.7031654134743596,39,-0.0739,FALSE,FALSE,None
133,17.3303105367795,ECU,3.4452087970199097,0.7044913781590618,40,-0.0092,FALSE,FALSE,None
133,17.060356334013623,EGY,3.4265696823454506,0.7006799703871924,41,-0.2792,FALSE,FALSE,None
133,16.465615771293358,ESP,3.414881370187808,0.6982898931450195,42,-0.8739,FALSE,FALSE,None
133,17.308999125771656,EST,3.442681458643011,0.7039745769429046,43,-0.0305,FALSE,FALSE,None
133,17.327251071222022,ETH,3.4447973929456768,0.7044072524528093,44,-0.0123,FALSE,FALSE,None
133,17.115906437110716,FIN,3.4292349388181296,0.7012249736993891,45,-0.2236,FALSE,FALSE,None
133,17.337981078402986,FJI,3.446412793405306,0.7047375766111208,46,-0.0015,FALSE,FALSE,None
133,16.422981566896276,FRA,3.4157544211008646,0.6984684184179941,47,-0.9165,FALSE,FALSE,None
133,16.5066412432639,GBR,3.4144831561979276,0.6982084646049626,48,-0.8329,FALSE,FALSE,None
133,17.33490910972206,GEO,3.445886688942239,0.7046299964671939,49,-0.0046,FALSE,FALSE,None
133,17.33337500171059,GHA,3.445650290637229,0.7045816567068186,50,-0.0061,FALSE,FALSE,None
133,17.337981078402986,GMB,3.446412793405306,0.7047375766111208,51,-0.0015,FALSE,FALSE,None
133,17.337981078402986,GNB,3.446412793405306,0.7047375766111208,52,-0.0015,FALSE,FALSE,None
133,17.06555540839739,GRC,3.4268050234773177,0.7007280939721752,53,-0.274,FALSE,FALSE,None
